,USD,JPY,CYP,CZK,DKK,EEK,GBP,HUF,LTL,LVL,MTL,PLN,ROL,SEK,SIT,SKK,CHF,ISK,NOK,TRL,AUD,CAD,HKD,KRW,NZD,SGD,ZAR,BGN,TRY,HRK,RUB,CNY,IDR,MYR,PHP,THB,RON,BRL,MXN,INR,ILS,date
0,1.0046,102.73,0.57667,36.103,7.4433,15.6466,0.6217,254.7,4.0169,0.5881,0.4151,4.1587,18345.0,8.5625,198.9055,42.402,1.6051,72.83,8.0765,544641.0,1.5422,1.4608,7.8033,1137.28,1.9357,1.6718,6.187,,,,,,,,,,,,,,,2000-01-01
1,1.0046,102.73,0.57667,36.103,7.4433,15.6466,0.6217,254.7,4.0169,0.5881,0.4151,4.1587,18345.0,8.5625,198.9055,42.402,1.6051,72.83,8.0765,544641.0,1.5422,1.4608,7.8033,1137.28,1.9357,1.6718,6.187,,,,,,,,,,,,,,,2000-01-02
2,1.009,102.75,0.5767,36.063,7.4404,15.6466,0.6246,254.53,4.0454,0.5916,0.4151,4.1835,18273.0,8.552,198.8925,42.317,1.6043,73.03,8.062,546131.0,1.5346,1.4577,7.8624,1140.02,1.9331,1.6769,6.2013,,,,,,,,,,,,,,,2000-01-03
3,1.0305,105.88,0.5775,36.27,7.4429,15.6466,0.6296,254.52,4.1261,0.6006,0.4182,4.2423,18858.0,8.6215,198.7975,42.326,1.6053,73.92,8.15,552354.0,1.5677,1.4936,8.0201,1157.32,1.9745,1.7047,6.3087,,,,,,,,,,,,,,,2000-01-04
4,1.0368,107.34,0.5778,36.337,7.4444,15.6466,0.6324,254.51,4.1477,0.6036,0.4195,4.2627,18979.0,8.6415,199.4725,42.459,1.606,74.3,8.206,555329.0,1.5773,1.5065,8.0629,1176.08,1.9956,1.7159,6.296,,,,,,,,,,,,,,,2000-01-05
5,1.0388,108.72,0.5781,36.243,7.4441,15.6466,0.6302,254.45,4.1595,0.606,0.4191,4.2593,19000.0,8.6445,199.5114,42.408,1.6068,74.75,8.203,555674.0,1.5828,1.5091,8.0843,1191.9,2.0064,1.7291,6.3304,,,,,,,,,,,,,,,2000-01-06
6,1.0284,108.09,0.57757,36.027,7.4436,15.6466,0.6262,254.63,4.1173,0.6022,0.4175,4.1897,18822.0,8.645,199.615,42.404,1.6079,74.19,8.1945,554980.0,1.5738,1.501,8.003,1169.52,1.9942,1.7096,6.2393,,,,,,,,,,,,,,,2000-01-07
7,1.0284,108.09,0.57757,36.027,7.4436,15.6466,0.6262,254.63,4.1173,0.6022,0.4175,4.1897,18822.0,8.645,199.615,42.404,1.6079,74.19,8.1945,554980.0,1.5738,1.501,8.003,1169.52,1.9942,1.7096,6.2393,,,,,,,,,,,,,,,2000-01-08
8,1.0284,108.09,0.57757,36.027,7.4436,15.6466,0.6262,254.63,4.1173,0.6022,0.4175,4.1897,18822.0,8.645,199.615,42.404,1.6079,74.19,8.1945,554980.0,1.5738,1.501,8.003,1169.52,1.9942,1.7096,6.2393,,,,,,,,,,,,,,,2000-01-09
9,1.0229,107.26,0.5774,35.988,7.4448,15.6466,0.6249,254.69,4.0879,0.5986,0.4173,4.1567,18729.0,8.657,199.6255,42.292,1.6089,74.0,8.19,552469.0,1.5587,1.4873,7.9471,1157.84,1.9783,1.6975,6.2223,,,,,,,,,,,,,,,2000-01-10
