,city,lat,lng,country,iso2,admin_name,capital,population,population_proper
0,Berlin,52.5167,13.3833,Germany,DE,Berlin,primary,3644826.0,3644826.0
1,Hamburg,53.55,10.0,Germany,DE,Hamburg,admin,1841179.0,1841179.0
2,Muenchen,48.1372,11.5755,Germany,DE,Bayern,admin,1471508.0,1471508.0
3,Koeln,50.9422,6.9578,Germany,DE,Nordrhein-Westfalen,,1085664.0,1085664.0
4,Frankfurt,50.1136,8.6797,Germany,DE,Hessen,minor,753056.0,753056.0
5,Bremen,53.1153,8.7975,Germany,DE,Bremen,admin,724909.0,546501.0
6,Duesseldorf,51.2311,6.7724,Germany,DE,Nordrhein-Westfalen,admin,645923.0,645923.0
7,Stuttgart,48.7761,9.1775,Germany,DE,Baden-Wuerttemberg,admin,634830.0,634830.0
8,Leipzig,51.3333,12.3833,Germany,DE,Sachsen,minor,593197.0,593197.0
9,Dortmund,51.5139,7.4653,Germany,DE,Nordrhein-Westfalen,minor,587010.0,587010.0
10,Essen,51.4508,7.0131,Germany,DE,Nordrhein-Westfalen,minor,583109.0,583109.0
11,Dresden,51.05,13.74,Germany,DE,Sachsen,admin,556549.0,556549.0
12,Hannover,52.3744,9.7386,Germany,DE,Niedersachsen,admin,538068.0,538068.0
13,Nuremberg,49.4539,11.0775,Germany,DE,Bayern,minor,518365.0,518365.0
14,Duisburg,51.4322,6.7611,Germany,DE,Nordrhein-Westfalen,minor,498590.0,498590.0
15,Bochum,51.4833,7.2167,Germany,DE,Nordrhein-Westfalen,minor,364628.0,364628.0
16,Wuppertal,51.2667,7.1833,Germany,DE,Nordrhein-Westfalen,minor,354382.0,354382.0
17,Bielefeld,52.0167,8.5333,Germany,DE,Nordrhein-Westfalen,minor,333786.0,333786.0
18,Bonn,50.7339,7.0997,Germany,DE,Nordrhein-Westfalen,minor,327258.0,327258.0
19,Muenster,51.9625,7.6256,Germany,DE,Nordrhein-Westfalen,minor,314319.0,314319.0
20,Karlsruhe,49.0167,8.4,Germany,DE,Baden-Wuerttemberg,minor,313092.0,313092.0
21,Mannheim,49.4878,8.4661,Germany,DE,Baden-Wuerttemberg,minor,309370.0,309370.0
22,Augsburg,48.3717,10.8983,Germany,DE,Bayern,minor,295135.0,295135.0
23,Kassel,51.3166,9.4912,Germany,DE,Hessen,minor,289924.0,194501.0
24,Wiesbaden,50.0825,8.24,Germany,DE,Hessen,admin,278342.0,278342.0
25,Moenchengladbach,51.2,6.4333,Germany,DE,Nordrhein-Westfalen,minor,261454.0,261454.0
26,Gelsenkirchen,51.5167,7.1,Germany,DE,Nordrhein-Westfalen,minor,260654.0,260654.0
27,Braunschweig,52.2692,10.5211,Germany,DE,Niedersachsen,minor,248292.0,248292.0
28,Aachen,50.7762,6.0838,Germany,DE,Nordrhein-Westfalen,minor,247380.0,247380.0
29,Kiel,54.3233,10.1394,Germany,DE,Schleswig-Holstein,admin,246794.0,246794.0
30,Chemnitz,50.8333,12.9167,Germany,DE,Sachsen,minor,245403.0,245403.0
31,Halle,51.4828,11.9697,Germany,DE,Sachsen-Anhalt,minor,239257.0,239257.0
32,Magdeburg,52.1278,11.6292,Germany,DE,Sachsen-Anhalt,admin,238697.0,238697.0
33,Freiburg im Breisgau,47.9947,7.8497,Germany,DE,Baden-Wuerttemberg,minor,230241.0,230241.0
34,Krefeld,51.3333,6.5667,Germany,DE,Nordrhein-Westfalen,minor,227020.0,227020.0
35,Mainz,50.0,8.2667,Germany,DE,Rheinland-Pfalz,admin,217118.0,217118.0
36,Luebeck,53.8697,10.6864,Germany,DE,Schleswig-Holstein,minor,216530.0,216530.0
37,Oberhausen,51.4699,6.8514,Germany,DE,Nordrhein-Westfalen,minor,210829.0,210829.0
38,Rostock,54.0833,12.1333,Germany,DE,Mecklenburg-Vorpommern,,208886.0,208886.0
39,Erfurt,50.9787,11.0328,Germany,DE,Thueringen,admin,203254.0,175476.0
40,Hagen,51.3594,7.475,Germany,DE,Nordrhein-Westfalen,minor,188814.0,188814.0
41,Potsdam,52.4,13.0667,Germany,DE,Brandenburg,admin,182219.0,182219.0
42,Saarbruecken,49.2333,7.0,Germany,DE,Saarland,admin,180741.0,180741.0
43,Hamm,51.6667,7.8167,Germany,DE,Nordrhein-Westfalen,minor,179111.0,179111.0
44,Ludwigshafen,49.4811,8.4353,Germany,DE,Rheinland-Pfalz,minor,172253.0,172253.0
45,Muelheim,51.4275,6.8825,Germany,DE,Nordrhein-Westfalen,minor,170880.0,170880.0
46,Oldenburg,53.1439,8.2139,Germany,DE,Niedersachsen,minor,168210.0,168210.0
47,Osnabrueck,52.2789,8.0431,Germany,DE,Niedersachsen,minor,164748.0,164748.0
48,Leverkusen,51.0333,6.9833,Germany,DE,Nordrhein-Westfalen,minor,163838.0,163838.0
49,Heidelberg,49.4122,8.71,Germany,DE,Baden-Wuerttemberg,minor,160355.0,160355.0
50,Solingen,51.1667,7.0833,Germany,DE,Nordrhein-Westfalen,minor,159360.0,159360.0
51,Darmstadt,49.8667,8.65,Germany,DE,Hessen,minor,159207.0,159207.0
52,Herne,51.5426,7.219,Germany,DE,Nordrhein-Westfalen,minor,156374.0,156374.0
53,Neuss,51.2003,6.6939,Germany,DE,Nordrhein-Westfalen,minor,153796.0,153796.0
54,Regensburg,49.0167,12.0833,Germany,DE,Bayern,minor,152610.0,152610.0
55,Paderborn,51.7167,8.7667,Germany,DE,Nordrhein-Westfalen,minor,150580.0,150580.0
56,Ingolstadt,48.7636,11.4261,Germany,DE,Bayern,minor,136981.0,136981.0
57,Wuerzburg,49.7944,9.9294,Germany,DE,Bayern,minor,127880.0,127880.0
58,Fuerth,49.4783,10.9903,Germany,DE,Bayern,minor,127748.0,127748.0
59,Ulm,48.3984,9.9916,Germany,DE,Baden-Wuerttemberg,minor,126329.0,126329.0
60,Heilbronn,49.1404,9.218,Germany,DE,Baden-Wuerttemberg,minor,125960.0,125960.0
61,Pforzheim,48.895,8.705,Germany,DE,Baden-Wuerttemberg,minor,125542.0,125542.0
62,Wolfsburg,52.4231,10.7872,Germany,DE,Niedersachsen,minor,124151.0,124151.0
63,Goettingen,51.5339,9.9356,Germany,DE,Niedersachsen,minor,119801.0,119801.0
64,Bottrop,51.5232,6.9253,Germany,DE,Nordrhein-Westfalen,minor,117383.0,117383.0
65,Reutlingen,48.4833,9.2167,Germany,DE,Baden-Wuerttemberg,minor,115966.0,115966.0
66,Koblenz,50.3597,7.5978,Germany,DE,Rheinland-Pfalz,minor,114024.0,114024.0
67,Bremerhaven,53.55,8.5833,Germany,DE,Bremen,,113634.0,113634.0
68,Recklinghausen,51.6167,7.2,Germany,DE,Nordrhein-Westfalen,minor,112267.0,112267.0
69,Bergisch Gladbach,50.9917,7.1367,Germany,DE,Nordrhein-Westfalen,minor,111966.0,111966.0
70,Erlangen,49.5964,11.0044,Germany,DE,Bayern,minor,111962.0,111962.0
71,Jena,50.9272,11.5864,Germany,DE,Thueringen,minor,111407.0,111407.0
72,Remscheid,51.1802,7.1872,Germany,DE,Nordrhein-Westfalen,minor,110994.0,110994.0
73,Trier,49.7567,6.6414,Germany,DE,Rheinland-Pfalz,minor,110636.0,110636.0
74,Salzgitter,52.1503,10.3593,Germany,DE,Niedersachsen,minor,104948.0,104948.0
75,Moers,51.4592,6.6197,Germany,DE,Nordrhein-Westfalen,,103725.0,103725.0
76,Siegen,50.8756,8.0167,Germany,DE,Nordrhein-Westfalen,minor,102836.0,102836.0
77,Hildesheim,52.15,9.95,Germany,DE,Niedersachsen,minor,101990.0,101990.0
78,Cottbus,51.7606,14.3342,Germany,DE,Brandenburg,minor,100219.0,100219.0
79,Guetersloh,51.9,8.3833,Germany,DE,Nordrhein-Westfalen,minor,100194.0,100194.0
80,Kaiserslautern,49.4447,7.7689,Germany,DE,Rheinland-Pfalz,minor,100030.0,100030.0
81,Witten,51.4333,7.3333,Germany,DE,Nordrhein-Westfalen,,96563.0,96563.0
82,Hanau,50.1328,8.9169,Germany,DE,Hessen,minor,96023.0,96023.0
83,Schwerin,53.6333,11.4167,Germany,DE,Mecklenburg-Vorpommern,admin,95818.0,95818.0
84,Gera,50.8782,12.0824,Germany,DE,Thueringen,minor,94152.0,94152.0
85,Esslingen,48.7406,9.3108,Germany,DE,Baden-Wuerttemberg,minor,93542.0,93542.0
86,Ludwigsburg,48.8975,9.1919,Germany,DE,Baden-Wuerttemberg,minor,93499.0,93499.0
87,Iserlohn,51.3833,7.6667,Germany,DE,Nordrhein-Westfalen,,92666.0,92666.0
88,Dueren,50.8,6.4833,Germany,DE,Nordrhein-Westfalen,minor,90733.0,90733.0
89,Tuebingen,48.52,9.0556,Germany,DE,Baden-Wuerttemberg,minor,90546.0,90546.0
90,Flensburg,54.7819,9.4367,Germany,DE,Schleswig-Holstein,minor,90164.0,90164.0
91,Zwickau,50.7189,12.4961,Germany,DE,Sachsen,minor,89540.0,89540.0
92,Giessen,50.5833,8.6667,Germany,DE,Hessen,minor,88546.0,88546.0
93,Ratingen,51.3,6.85,Germany,DE,Nordrhein-Westfalen,,87297.0,87297.0
94,Luenen,51.6167,7.5167,Germany,DE,Nordrhein-Westfalen,,86348.0,86348.0
95,Villingen-Schwenningen,48.0603,8.4586,Germany,DE,Baden-Wuerttemberg,minor,85181.0,85181.0
96,Konstanz,47.6633,9.1753,Germany,DE,Baden-Wuerttemberg,,84760.0,84760.0
97,Marl,51.6667,7.1167,Germany,DE,Nordrhein-Westfalen,,83941.0,83941.0
98,Worms,49.6319,8.3653,Germany,DE,Rheinland-Pfalz,minor,83330.0,83330.0
99,Velbert,51.34,7.0416,Germany,DE,Nordrhein-Westfalen,,81984.0,81984.0
100,Minden,52.2883,8.9167,Germany,DE,Nordrhein-Westfalen,minor,81682.0,81682.0
101,Dessau-Rosslau,51.8333,12.2333,Germany,DE,Sachsen-Anhalt,minor,81237.0,81237.0
102,Neumuenster,54.0714,9.99,Germany,DE,Schleswig-Holstein,minor,79487.0,79487.0
103,Norderstedt,53.7064,10.0103,Germany,DE,Schleswig-Holstein,,79159.0,79159.0
104,Delmenhorst,53.0506,8.6317,Germany,DE,Niedersachsen,minor,77607.0,77607.0
105,Bamberg,49.8917,10.8917,Germany,DE,Bayern,minor,77592.0,77592.0
106,Viersen,51.2556,6.3917,Germany,DE,Nordrhein-Westfalen,minor,76905.0,76905.0
107,Marburg,50.8167,8.7667,Germany,DE,Hessen,minor,76851.0,76851.0
108,Rheine,52.2833,7.4333,Germany,DE,Nordrhein-Westfalen,,76107.0,76107.0
109,Wilhelmshaven,53.5167,8.1333,Germany,DE,Niedersachsen,minor,76097.0,76097.0
110,Gladbeck,51.5713,6.9827,Germany,DE,Nordrhein-Westfalen,,75687.0,75687.0
111,Lueneburg,53.2525,10.4144,Germany,DE,Niedersachsen,minor,75351.0,75351.0
112,Troisdorf,50.8161,7.1556,Germany,DE,Nordrhein-Westfalen,,74903.0,74903.0
113,Dorsten,51.66,6.9642,Germany,DE,Nordrhein-Westfalen,,74736.0,74736.0
114,Bayreuth,49.9481,11.5783,Germany,DE,Bayern,minor,74657.0,74657.0
115,Detmold,51.9378,8.8833,Germany,DE,Nordrhein-Westfalen,minor,74388.0,74388.0
116,Arnsberg,51.3967,8.0644,Germany,DE,Nordrhein-Westfalen,,73628.0,73628.0
117,Castrop-Rauxel,51.55,7.3167,Germany,DE,Nordrhein-Westfalen,,73425.0,73425.0
118,Luedenscheid,51.2198,7.6273,Germany,DE,Nordrhein-Westfalen,minor,72611.0,72611.0
119,Landshut,48.5397,12.1508,Germany,DE,Bayern,minor,72404.0,72404.0
120,Brandenburg,52.4117,12.5561,Germany,DE,Brandenburg,minor,72124.0,72124.0
121,Bocholt,51.8333,6.6167,Germany,DE,Nordrhein-Westfalen,,71099.0,71099.0
